vehicleId 	 tourDuration[s] 	 travelDistance[m] 	 costPerSecond[EUR/s] 	 costPerMeter[EUR/m] 	 fixedCosts[EUR] 	 varCostsTime[EUR] 	 varCostsDist[EUR] 	 totalCosts[EUR] 	 SPR
freight_Liefer-Startup_veh_bayk23_21	57908.0	140928.0989648	0.004677777777777778	2.19E-4	12.002571	270.8807555555556	30.863253673291204	313.74658022884677	null
freight_Liefer-Startup_veh_bayk24_22	58025.0	149359.30038515068	0.004677777777777778	2.19E-4	12.002571	271.4280555555556	32.709686784348	316.14031333990357	null
freight_Liefer-Startup_veh_bayk3_1	57611.0	150763.24789885624	0.004677777777777778	2.19E-4	12.002571	269.49145555555555	33.017151289849515	314.51117784540503	null
freight_Liefer-Startup_veh_bayk20_18	58786.0	180552.15460452024	0.004677777777777778	2.19E-4	12.002571	274.9878444444445	39.540921858389936	326.5313373028344	null
freight_Liefer-Startup_veh_bayk42_40	58415.0	132841.35833940463	0.004677777777777778	2.19E-4	12.002571	273.2523888888889	29.092257476329614	314.3472173652185	null
freight_Liefer-Startup_veh_bayk10_8	57890.0	136380.351928033	0.004677777777777778	2.19E-4	12.002571	270.7965555555556	29.86729707223923	312.6664236277948	null
freight_Liefer-Startup_veh_bayk39_37	58467.0	129964.31989244896	0.004677777777777778	2.19E-4	12.002571	273.49563333333333	28.462186056446324	313.96039038977966	null
freight_Liefer-Startup_veh_bayk43_41	58117.0	113793.85968593597	0.004677777777777778	2.19E-4	12.002571	271.85841111111114	24.920855271219978	308.7818373823311	null
freight_Liefer-Startup_veh_bayk44_42	58115.0	107633.22924240837	0.004677777777777778	2.19E-4	12.002571	271.8490555555556	23.571677204087436	307.42330375964303	null
freight_Liefer-Startup_veh_bayk28_26	58484.0	130740.51352854485	0.004677777777777778	2.19E-4	12.002571	273.57515555555557	28.632172462751324	314.2098990183069	null
freight_Liefer-Startup_veh_bayk46_44	58376.0	106942.09485744039	0.004677777777777778	2.19E-4	12.002571	273.06995555555557	23.420318773779446	308.492845329335	null
freight_Liefer-Startup_veh_bayk17_15	58687.0	175871.55868287385	0.004677777777777778	2.19E-4	12.002571	274.5247444444445	38.51587135154937	325.04318679599385	null
freight_Liefer-Startup_veh_bayk26_24	58069.0	134541.45875741125	0.004677777777777778	2.19E-4	12.002571	271.6338777777778	29.464579467873065	313.10102824565087	null
freight_Liefer-Startup_veh_bayk25_23	58424.0	160146.95049681864	0.004677777777777778	2.19E-4	12.002571	273.2944888888889	35.07218215880329	320.3692420476922	null
freight_Liefer-Startup_veh_bayk13_11	58622.0	158979.32743923823	0.004677777777777778	2.19E-4	12.002571	274.2206888888889	34.81647270919317	321.0397325980821	null
freight_Liefer-Startup_veh_bayk22_20	58571.0	164420.72140497688	0.004677777777777778	2.19E-4	12.002571	273.98212222222224	36.00813798768994	321.9928312099122	null
freight_Liefer-Startup_veh_bayk32_30	58277.0	140280.1284479479	0.004677777777777778	2.19E-4	12.002571	272.60685555555557	30.721348130100594	315.33077468565614	null
freight_Liefer-Startup_veh_bayk31_29	58233.0	129258.19958347504	0.004677777777777778	2.19E-4	12.002571	272.4010333333334	28.307545708781035	312.7111500421144	null
freight_Liefer-Startup_veh_bayk30_28	58401.0	141078.70529977084	0.004677777777777778	2.19E-4	12.002571	273.18690000000004	30.896236460649813	316.0857074606498	null
freight_Liefer-Startup_veh_bayk2_0	57738.0	171436.62302925077	0.004677777777777778	2.19E-4	12.002571	270.08553333333333	37.54462044340592	319.6327247767392	null
freight_Liefer-Startup_veh_bayk5_3	58521.0	169396.68297903077	0.004677777777777778	2.19E-4	12.002571	273.74823333333336	37.09787357240774	322.8486779057411	null
freight_Liefer-Startup_veh_bayk53_51	45154.0	37563.08718741311	0.004677777777777778	2.19E-4	12.002571	211.2203777777778	8.226316094043472	231.44926487182127	null
freight_Liefer-Startup_veh_bayk52_50	50885.0	51210.29136842188	0.004677777777777778	2.19E-4	12.002571	238.02872222222223	11.215053809684392	261.2463470319066	null
freight_Liefer-Startup_veh_bayk51_49	50931.0	58298.66014566102	0.004677777777777778	2.19E-4	12.002571	238.24390000000002	12.767406571899764	263.0138775718998	null
freight_Liefer-Startup_veh_bayk50_48	58165.0	94503.26794006531	0.004677777777777778	2.19E-4	12.002571	272.0829444444445	20.696215678874307	304.78173112331876	null
freight_Liefer-Startup_veh_bayk4_2	58540.0	174561.62325494806	0.004677777777777778	2.19E-4	12.002571	273.83711111111114	38.228995492833626	324.06867760394476	null
freight_Liefer-Startup_veh_bayk49_47	58164.0	92604.8533911449	0.004677777777777778	2.19E-4	12.002571	272.0782666666667	20.280462892660736	304.36130055932745	null
freight_Liefer-Startup_veh_bayk48_46	57978.0	89544.88284257537	0.004677777777777778	2.19E-4	12.002571	271.20820000000003	19.610329342524008	302.821100342524	null
freight_Liefer-Startup_veh_bayk15_13	57982.0	164460.11316666132	0.004677777777777778	2.19E-4	12.002571	271.2269111111111	36.01676478349883	319.24624689460995	null
freight_Liefer-Startup_veh_bayk35_33	58548.0	160414.30546637435	0.004677777777777778	2.19E-4	12.002571	273.8745333333334	35.130732897135985	321.00783723046936	null
freight_Liefer-Startup_veh_bayk34_32	58344.0	148079.13804672813	0.004677777777777778	2.19E-4	12.002571	272.9202666666667	32.42933123223346	317.3521688989001	null
freight_Liefer-Startup_veh_bayk45_43	58174.0	153480.93433906112	0.004677777777777778	2.19E-4	12.002571	272.1250444444445	33.612324620254384	317.7399400646989	null
freight_Liefer-Startup_veh_bayk41_39	58300.0	135065.6700793021	0.004677777777777778	2.19E-4	12.002571	272.71444444444444	29.57938174736716	314.2963971918116	null
freight_Liefer-Startup_veh_bayk40_38	58382.0	131781.74494687052	0.004677777777777778	2.19E-4	12.002571	273.09802222222226	28.860202143364646	313.9607953655869	null
freight_Liefer-Startup_veh_bayk38_36	58340.0	128188.16351530128	0.004677777777777778	2.19E-4	12.002571	272.90155555555555	28.07320780985098	312.97733436540653	null
freight_Liefer-Startup_veh_bayk37_35	58585.0	154281.5640023227	0.004677777777777778	2.19E-4	12.002571	274.0476111111111	33.787662516508675	319.8378446276198	null
AVERAGE	57692.67307692308	136830.63755479103	-	-	-	269.8735040598291	29.96590962449921	311.84198468432834	-
TOTAL	3000019.0	7115193.152849133	-	-	-	14033.422211111112	1558.227300473959	16215.783203585073	-
